filename,class_id,class_name,confidence,x_min_pixel,y_min_pixel,x_max_pixel,y_max_pixel
AIX034925.jpg,0,leaf,0.2633,3406,4585,3482,4639
AIX034925.jpg,2,stem,0.3521,204,4044,1101,4370
AIX034925.jpg,0,leaf,0.3577,3485,4272,3573,4398
AIX034925.jpg,0,leaf,0.3996,746,1892,993,1986
AIX034925.jpg,2,stem,0.4078,792,3234,1051,4460
AIX034925.jpg,2,stem,0.4287,103,4042,774,4175
AIX034925.jpg,0,leaf,0.4393,3401,4651,3488,4744
AIX034925.jpg,2,stem,0.5261,1443,1562,1681,1823
AIX034925.jpg,0,leaf,0.5854,433,4000,476,4067
AIX034925.jpg,0,leaf,0.5854,2799,500,2859,608
AIX034925.jpg,3,flower,0.6096,610,3871,743,3973
AIX034925.jpg,2,stem,0.6204,1072,2335,1218,2857
AIX034925.jpg,2,stem,0.7195,858,3245,1045,3928
AIX034925.jpg,0,leaf,0.7716,2684,172,2773,420
AIX034925.jpg,0,leaf,0.7769,611,3870,744,3973
AIX034925.jpg,2,stem,0.8308,2661,528,2827,1002
AIX034925.jpg,0,leaf,0.8312,2328,536,2688,732
AIX034925.jpg,3,flower,0.8425,1327,1367,1428,1472
AIX034925.jpg,3,flower,0.8434,595,2649,702,2763
AIX034925.jpg,0,leaf,0.8565,2423,714,2629,1013
AIX034925.jpg,0,leaf,0.8613,2329,363,2694,575
AIX034925.jpg,2,stem,0.8644,1701,1314,2178,1620
AIX034925.jpg,2,stem,0.8691,775,2150,941,2289
AIX034925.jpg,2,stem,0.8806,2215,1017,2642,1358
AIX034925.jpg,2,stem,0.8894,1166,1794,1452,2313
AIX034925.jpg,0,leaf,0.8933,433,2534,601,2812
AIX034925.jpg,2,stem,0.9132,611,2795,951,2981
AIX034925.jpg,0,leaf,0.9216,927,1874,1187,2349
AIX034925.jpg,0,leaf,0.9271,1505,1112,1696,1520
AIX034925.jpg,0,leaf,0.9288,2846,428,3092,685
AIX034925.jpg,0,leaf,0.932,1244,2295,1460,2739
AIX034925.jpg,0,leaf,0.9376,492,1874,772,2162
AIX034925.jpg,0,leaf,0.9449,601,3025,932,3389
AIX034925.jpg,0,leaf,0.9486,978,1320,1365,1795
AIX034925.jpg,0,leaf,0.9519,900,2823,1205,3261
AIX034925.jpg,0,leaf,0.9552,1638,817,2188,1323
AIX043024.jpg,0,leaf,0.2552,4464,4194,4660,4333
AIX043024.jpg,3,flower,0.3072,4161,4054,4353,4347
AIX043024.jpg,0,leaf,0.3306,3952,4307,4373,4574
AIX043024.jpg,0,leaf,0.4038,3967,4211,4458,4730
AIX043024.jpg,3,flower,0.4946,4709,3739,4883,3895
AIX043024.jpg,3,flower,0.4993,4251,4982,4477,5218
AIX043024.jpg,3,flower,0.5524,3921,3282,4202,3576
AIX043024.jpg,3,flower,0.6128,3805,3515,4120,3811
AIX043024.jpg,3,flower,0.6146,2830,1732,3203,2119
AIX043024.jpg,3,flower,0.6372,3950,3929,4215,4201
AIX043024.jpg,0,leaf,0.6382,2831,1737,3199,2123
AIX043024.jpg,3,flower,0.6587,4540,3791,4887,4047
AIX043024.jpg,3,flower,0.6619,4521,4733,4735,4956
AIX043024.jpg,3,flower,0.6845,4100,3192,4361,3464
AIX043024.jpg,2,stem,0.7631,4272,5447,4658,6356
AIX043024.jpg,0,leaf,0.7692,4489,5114,4852,5456
AIX043024.jpg,3,flower,0.8108,4798,3623,5082,3911
AIX043024.jpg,3,flower,0.8119,3719,4133,4019,4371
AIX043024.jpg,3,flower,0.8145,4403,3195,4723,3516
AIX043024.jpg,3,flower,0.8392,4681,3320,5014,3640
